epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.41303093356882187,0.3631056610574114,0.8198768143621085,0.8323311748381129,0:01:12,0:00:05
2,0.23085644934824442,0.3899249960767462,0.917255538579068,0.8307412118408881,0:01:12,0:00:05
3,0.1231839278673026,0.6844796427386872,0.9623997326203209,0.8369854301572618,0:01:12,0:00:05
4,0.06660819281749228,0.8417425919720467,0.9834320091673033,0.830336493987049,0:01:12,0:00:05
5,0.037289463885048814,1.0984738586430853,0.989448051948052,0.8292668825161886,0:01:11,0:00:05
6,0.020237350267081716,1.189499152467606,0.9944852941176471,0.8270120259019427,0:01:11,0:00:05
7,0.02129223533715545,1.1895214065592339,0.9946524064171123,0.8174433395004626,0:01:11,0:00:05
8,0.019891672379232665,1.275644303636348,0.9948195187165776,0.8270120259019427,0:01:11,0:00:05
9,0.025841562296537793,1.144388090422813,0.9946285332314745,0.8299317761332099,0:01:11,0:00:05
10,0.021522009655594188,1.126356457578058,0.994294308632544,0.8369854301572618,0:01:11,0:00:05
11,0.0236716648874391,1.1249397333632125,0.9943181818181818,0.8196981961147086,0:01:11,0:00:05
12,0.015439009200727112,1.387054224597647,0.9969919786096256,0.8276769195189639,0:01:11,0:00:05
13,0.011421479229279295,1.5953381676623162,0.9974933155080213,0.8203630897317299,0:01:11,0:00:05
14,0.0227053690313257,1.4181973306422537,0.9954879679144385,0.8070652173913043,0:01:11,0:00:05
15,0.019531465290605468,1.4222793775670073,0.9956550802139037,0.8183684088806661,0:01:11,0:00:05
