epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,2.870244135831129,2.086442178868233,0.10239209320091672,0.2044981498612396,0:00:12,0:00:02
2,1.5018900728480702,1.136472003257021,0.3501480137509549,0.5311921831637373,0:00:13,0:00:02
3,0.9332294607544965,0.8106514697379255,0.6445521390374331,0.6947271045328399,0:00:12,0:00:02
4,0.7517851261212865,0.7074331882152152,0.6968344155844156,0.7122745143385755,0:00:12,0:00:02
5,0.6889917726185233,0.6606654042893267,0.7142140947288007,0.7312962534690102,0:00:13,0:00:02
6,0.6458622486514841,0.6327152613629686,0.7265087853323148,0.7386100832562442,0:00:12,0:00:02
7,0.6268910172788854,0.614689993731519,0.7309253246753247,0.7419345513413506,0:00:12,0:00:02
8,0.6071452565371671,0.6011032525529253,0.733933346065699,0.7432643385753931,0:00:13,0:00:02
9,0.5960416983474385,0.5897108753944965,0.7360819327731092,0.7479185938945421,0:00:12,0:00:02
10,0.583597778636504,0.5817777324230113,0.7452014896867839,0.7465888066604995,0:00:12,0:00:02
11,0.5822683614205549,0.5736588734261533,0.7354612299465241,0.7508383441258095,0:00:12,0:00:02
12,0.5670752738886339,0.5683051645755768,0.7441749427043545,0.7554925994449584,0:00:12,0:00:02
13,0.5732034124473837,0.5625653025951791,0.7443420550038197,0.7561574930619798,0:00:12,0:00:02
14,0.5600958141413602,0.5583678192280709,0.7434587471352178,0.7548277058279371,0:00:12,0:00:02
15,0.5615859170329762,0.5538822773923265,0.7364877769289534,0.7581521739130436,0:00:12,0:00:02
