epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.647439922868591,0.5958010339736939,0.6472938144329897,0.6675,0:00:06,0:00:01
2,0.5876638434596897,0.5433602488040924,0.6899484536082474,0.7125,0:00:05,0:00:01
3,0.5533150225570521,0.5052557754516601,0.7144329896907217,0.7575,0:00:05,0:00:01
4,0.5392460939810448,0.4869445991516113,0.724291237113402,0.75875,0:00:05,0:00:01
5,0.5173227661049243,0.4598647952079773,0.7421391752577319,0.7875,0:00:05,0:00:01
6,0.5005929596030835,0.44812353849411013,0.7599871134020618,0.79375,0:00:05,0:00:01
7,0.49341411565996934,0.4372632348537445,0.7664948453608247,0.79625,0:00:05,0:00:01
8,0.4857782951949798,0.43654317140579224,0.7672680412371133,0.79125,0:00:05,0:00:01
9,0.4711365819591837,0.4160369157791138,0.7716494845360824,0.80625,0:00:05,0:00:01
10,0.47861555003628287,0.4129166078567505,0.7681056701030927,0.80875,0:00:05,0:00:01
11,0.4684403974985339,0.39667058825492857,0.7657860824742269,0.82375,0:00:05,0:00:01
12,0.4638456189140831,0.3983241093158722,0.7753221649484536,0.8125,0:00:05,0:00:01
13,0.4630989155818507,0.39234718203544616,0.778930412371134,0.815,0:00:05,0:00:01
14,0.46301239175894826,0.3930852210521698,0.7758376288659793,0.81625,0:00:05,0:00:01
15,0.448981106588521,0.39116723895072936,0.7912371134020618,0.81875,0:00:05,0:00:01
